item_id,pair_id,language,task,category,difficulty,is_answerable,question,reference_answer,llama_prediction,qwen_prediction,semantic_equivalent_en_az,natural_azerbaijani,reference_answer_valid,answerability_valid,llama_correct,qwen_correct,reviewer_notes
factual_knowledge_0008_en,factual_knowledge_0008,en,factual_knowledge,general_knowledge,medium,True,Which continent contains the Sahara Desert and the Nile River?,Africa,The continent that contains the Sahara Desert and the Nile River is Africa.,"The Sahara Desert and the Nile River are both located in Africa. Africa is the world's second-largest and second-most-populous continent, and it contains a vast array of geographical features, including deserts, rivers, and mountains.",,,,,,,
factual_knowledge_0013_az,factual_knowledge_0013,az,factual_knowledge,general_knowledge,easy,True,Fransanın paytaxtı hansıdır?,Paris,Fransa'nın paytaxtı Paris'tir.,"Fransanın paytaxtı Paris'tir. Paris, Fransa'nın en büyük şehri ve ülkenin başkentidir.",,,,,,,
factual_knowledge_0017_az,factual_knowledge_0017,az,factual_knowledge,general_knowledge,hard,True,"Mahalangur Himal dağ silsiləsində, Nepal ilə Çin sərhədində yerləşən və orta dəniz səviyyəsindən Yer kürəsinin ən yüksək nöqtəsi olan dağ hansıdır?",Everest dağı,"Mahalangur Himal dağ silsiləsində, Nepal ilə Çin sərhədində yerləşən və orta dəniz səviyyəsindən Yer kürəsinin ən yüksək nöqtəsi olan dağ - Everest (əslində Qomolungma) dağıdır.","Mahalangur Himal dağ silsiləsində, Nepal ilə Çin sərhədində yerləşən və orta dəniz səviyyəsindən Yer kürəsinin ən yüksək nöqtəsi olan dağ Qomolangma adlanır, daha çox bilinen adıyla Everest dağıdır. Bu dağın yüksəkliyi 8.848 metr (29.029.000 ayak) orta dəniz səviyyəsindən hesablana bilir.",,,,,,,
factual_knowledge_0032_az,factual_knowledge_0032,az,factual_knowledge,science_knowledge,hard,True,"İnsanda yetkin halda nüvəsi olmayan, hemoqlobin daşıyan və qandakı oksigenin böyük hissəsini nəql edən formalı qan elementləri hansılardır?",Qırmızı qan hüceyrələri,"İnsanda yetkin halda nüvəsi olmayan, hemoqlobin daşıyan və qandakı oksigenin böyük hissəsini nəql edən formalı qan elementləri qan hüceyrələrinin əsas komponenti olan qırmızı qan hüceyrələrinin (eritrotsit) əsas formalı elementidir - hemoglobin.","İndən istifadə etmək istənilən qan elementlərinin nüvəsi olmayan, hemoglobin-daşıyan və qandak oksigenin böyük hissəsini nəql edəcəyi üçün, bu elementlər ən səhvdən əlçatılmış olan hemoqlobin moleküllərindən ibarətdir. Bu elementlər, qanın əlavə oksijen nəqliyini artırmaq üçün əlavə bir işlev yerine verir. 

Bu əlavə qan elementləri, qan əlavə oksijen nəqliyini artırmaq üçün əlavə bir işlev yerine verir:

1. **Ferritin**: Qan dərəcələrindən əlavə, karnil organlarda da var olan bir protein. Ferritin əlavə oksijen nəqliyini artırmaq üçün əlavə bir yoldan iş",,,,,,,
factual_knowledge_0045_az,factual_knowledge_0045,az,factual_knowledge,science_knowledge,medium,True,Zərərli ultrabənövşəyi şüalanmanın böyük hissəsini udan ozon qatının əsasən yerləşdiyi atmosfer təbəqəsi hansıdır?,Stratosfer,Zərərli ultrabənövşəyi şüalanmanın böyük hissəsini udan ozon qatının əsasən yerləşdiyi atmosfer təbəqəsi stratosferdir.,"Əsas olaraq, zərərli ultrabənövşəyi şüalanmanın böyük hissəsini udan öz ozon qatının yerləşdiyi atmosfer təbəqəsindən əldə edir. Bu təbəqə, atmosferin ən üst təbəqələrindən biridir və onu ozon diqüanidir.

Ozon qatı atmosferin 10-50 km əmsalında yerləşir, amma ən çox 20-30 km əmsalında ədədli olur. Bu təbəqədən əldə edilən zərərli ultravioletlər, Dünya yüzeyindən gələn əvəz olunur və bu əvəz, Dünya yüzeyindəki canlılara əhəmiyyətli bir risk təşkil edir.

Bu risk, hər",,,,,,,
factual_knowledge_0058_az,factual_knowledge_0058,az,factual_knowledge,technology_knowledge,hard,True,"Əməliyyat sisteminin proseslərin planlaşdırılmasını, yaddaşın idarə olunmasını, aparatla qarşılıqlı əlaqəni və proqramların sistem çağırışlarını idarə edən imtiyazlı əsas komponenti hansıdır?",Nüvə,"Əməliyyat sisteminin proseslərin planlaşdırılmasını, yaddaşın idarə olunmasını, aparatla qarşılıqlı əlaqəni və proqramların sistem çağırışlarını idarə edən imtiyazlı əsas komponenti Operativ Yaddaş (OY) və ya Operativ Xatirədir.","Əməliyyat sisteminin proseslərin planlaşdırılmasını, yaddaşın idarə olunmasını, aparatla qarşılıqlı əlaqəni və proqramların sistem çağırışlarını idarə edən imtiyazlı əsas komponenti ""Kernel"" (Nöqtə) idi.

Kernel, operativ sistemun en imtiyazlı və səhvdən qorunmuş bir dəyişəndir. Onun əsas funksiyaları aşağıdakılardır:

1. Prosesslerin idarə edilməsi: Prosesslərin yaratılması, planlaşdırılması və bitirməsi.

2. Yaddaşın idarə edilməsi: Yaddaşın sərhədini təmin etmək, prosesslər üçün yaddaş bölgələrinin ayırılması və onların idarə edilməsi.

3. Aparatla əlaqə: Aparatların (masan",,,,,,,
factual_knowledge_0058_en,factual_knowledge_0058,en,factual_knowledge,technology_knowledge,hard,True,"Which privileged core component of an operating system handles process scheduling, memory management, hardware interaction, and system calls made by applications?",Kernel,"The privileged core component of an operating system that handles process scheduling, memory management, hardware interaction, and system calls made by applications is the **Kernel**.","The privileged core component of an operating system that handles process scheduling, memory management, hardware interaction, and system calls made by applications is the kernel. The kernel is the central hub of an operating system and is responsible for managing system resources and providing services to application software. It acts as an intermediary between the hardware and software, ensuring efficient and secure operation of the system.",,,,,,,
factual_knowledge_0068_en,factual_knowledge_0068,en,factual_knowledge,technology_knowledge,easy,True,What does USB stand for?,Universal Serial Bus,USB stands for Universal Serial Bus.,"USB stands for Universal Serial Bus. It is a standard interface for connecting external devices to personal computers, allowing for data transfer and power delivery.",,,,,,,
factual_knowledge_0082_en,factual_knowledge_0082,en,factual_knowledge,quantitative_knowledge,easy,True,What is 25% of 200?,50,"To find 25% of 200, first, find 1% of 200. 

1% of 200 = 0.01 * 200 = 2

Now, multiply 2 by 25 to find 25% of 200.

25% of 200 = 2 * 25 = 50","To find 25% of 200, you can multiply 200 by 0.25 (since 25% is the same as 0.25 in decimal form).

So, \( 200 \times 0.25 = 50 \).

Therefore, 25% of 200 is 50.",,,,,,,
factual_knowledge_0085_az,factual_knowledge_0085,az,factual_knowledge,quantitative_knowledge,medium,True,"Qırmızı topların mavi toplara nisbəti 3:5-dirsə və 15 qırmızı top varsa, neçə mavi top var?",25,"Qırmızı topların mavi toplara nisbəti 3:5-dirsə, bu deməkdir ki, 3 qırmızı top 5 mavi topa bərabərdir.

15 qırmızı top var, bu 3 qırmızı topun 5 qatını təşkil edir. 3 qırmızı top 5 mavi topa bərabərdir, beləlikə 15 qırmızı top 5*3 = 15 qırmızı topun 5 qatını təşkil edir. Bu da 15 qırmızı topun 5 qatını təşkil edir. 5 qatını təşkil edən məqsəd 15 qırmızı topun 5 qatını təşkil edir. 15 qırmızı topun 5 qatını təşkil edən məqsəd 15 qırmızı topun 5 qatını təşkil edir. 15 qırmızı topun 5 qatını təşkil","Verilən məlumatlara görə, qırmızı topların mavi toplara nisbəti 3:5-dir. Yani, 3 qırmızı top varsa, 5 mavi top var.

Verilən:
- 15 qırmızı top var.

Bu 15 qırmızı top, 3 qırmızı top üçün bir nisbətə uyğun olaraq 5 (15 ÷ 3 = 5) tərəfindən artırılmışdır.

Bu 5 tərəfindən artırılan nisbətin 5 qrupu olacaq, hər bir qrupda 5 mavi top olacaq.

Yani, 15 qırmızı topa əsasən, mavi topların sayını 5 tərəfindən artırırsak:

5 (mavi top) × 5 (nisbətə uyğun artırma sayı) = 25 mavi top

Yani, 15 qırm",,,,,,,
