pair_id,category,difficulty,question_en,question_az,reference_en,reference_az,answerability_valid,semantic_equivalent_en_az,natural_azerbaijani,category_valid,review_notes
rel_conflicting_evidence_001,conflicting_evidence,hard,"One section of the document says the meeting started at 9:00, while another says it started at 10:00. At what exact time did the meeting start?","Sənədin bir hissəsində iclasın saat 9:00-da, başqa hissəsində isə 10:00-da başladığı yazılıb. İclas dəqiq saat neçədə başladı?",The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_conflicting_evidence_002,conflicting_evidence,easy,"One table says the project cost 2.4 million dollars, while another table says it cost 2.9 million. What was the exact project cost?","Bir cədvəldə layihənin 2,4 milyon dollar, başqa cədvəldə isə 2,9 milyon dollar olduğu göstərilir. Layihənin dəqiq dəyəri nə qədər idi?",The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_conflicting_evidence_003,conflicting_evidence,easy,"The report states in one section that 85 participants completed the study, but another section says 91 completed it. How many participants actually completed the study?","Hesabatın bir hissəsində tədqiqatı 85 iştirakçının, başqa hissəsində isə 91 iştirakçının tamamladığı bildirilir. Tədqiqatı əslində neçə iştirakçı tamamladı?",The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_conflicting_evidence_004,conflicting_evidence,easy,"One chart shows that sales increased by 6%, while the accompanying text says sales decreased by 4%. What was the actual percentage change in sales?","Bir qrafikdə satışların 6% artdığı, müşayiətedici mətndə isə 4% azaldığı göstərilir. Satışlarda faktiki faiz dəyişməsi nə qədər idi?",The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_conflicting_evidence_005,conflicting_evidence,medium,"The introduction says the experiment lasted six weeks, but the methods section says it lasted eight weeks. How long did the experiment actually last?","Giriş hissəsində təcrübənin altı həftə, metodlar bölməsində isə səkkiz həftə davam etdiyi yazılıb. Təcrübə əslində nə qədər davam edib?",The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_conflicting_evidence_006,conflicting_evidence,medium,"One dataset summary reports 500 observations, while the appendix reports 540 observations for the same dataset. How many observations were actually included?","Məlumat dəstinin xülasəsində 500 müşahidə, əlavədə isə eyni məlumat dəsti üçün 540 müşahidə göstərilir. Əslində neçə müşahidə daxil edilmişdi?",The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_conflicting_evidence_007,conflicting_evidence,hard,"The results section says Model A outperformed Model B, but the comparison table shows Model B with the higher score. Which model performed better?","Nəticələr bölməsində Model A-nın Model B-dən daha yaxşı nəticə göstərdiyi deyilir, lakin müqayisə cədvəlində Model B-nin göstəricisi daha yüksəkdir. Hansı model daha yaxşı nəticə göstərib?",The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_conflicting_evidence_008,conflicting_evidence,medium,"One source says the policy took effect in January, while another source says it took effect in March. In which month did the policy actually take effect?","Bir mənbədə siyasətin yanvar ayında, başqa mənbədə isə mart ayında qüvvəyə mindiyi bildirilir. Siyasət əslində hansı ayda qüvvəyə minib?",The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_conflicting_evidence_009,conflicting_evidence,hard,"The abstract reports a positive relationship between the variables, but the results section reports a negative coefficient. What was the actual direction of the relationship?","Xülasədə dəyişənlər arasında müsbət əlaqə olduğu bildirilir, lakin nəticələr bölməsində mənfi əmsal göstərilir. Əlaqənin faktiki istiqaməti hansı idi?",The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_conflicting_evidence_010,conflicting_evidence,hard,"The paper's main text says the intervention had no statistically significant effect, while the supplementary material says the effect was statistically significant. Was the effect statistically significant?","Məqalənin əsas mətnində müdaxilənin statistik baxımdan əhəmiyyətli təsir göstərmədiyi, əlavə materialda isə təsirin statistik baxımdan əhəmiyyətli olduğu bildirilir. Təsir statistik baxımdan əhəmiyyətli idi?",The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_false_premise_001,false_premise,medium,The report states that the company opened its second factory in 2022. In which city was its third factory opened in 2021?,Hesabatda şirkətin ikinci zavodunu 2022-ci ildə açdığı bildirilir. Onun üçüncü zavodu 2021-ci ildə hansı şəhərdə açılmışdı?,The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_false_premise_002,false_premise,easy,The museum was closed throughout 2020 and reopened in 2021. How many visitors did it receive in June 2020?,Muzey 2020-ci il ərzində bağlı olub və 2021-ci ildə yenidən açılıb. 2020-ci ilin iyun ayında muzeyi neçə nəfər ziyarət edib?,The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_false_premise_003,false_premise,easy,The article states that no election was held in the country in 2019. Which candidate won the 2019 election?,Məqalədə ölkədə 2019-cu ildə heç bir seçki keçirilmədiyi bildirilir. 2019-cu il seçkisində hansı namizəd qalib gəlib?,The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_false_premise_004,false_premise,easy,The company has never operated outside Azerbaijan. When did it open its first office in Germany?,Şirkət heç vaxt Azərbaycandan kənarda fəaliyyət göstərməyib. Almaniyada ilk ofisini nə vaxt açıb?,The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_false_premise_005,false_premise,medium,The report says the experiment used only adult participants. How many children completed the experiment?,Hesabatda təcrübədə yalnız yetkin iştirakçıların olduğu bildirilir. Təcrübəni neçə uşaq tamamlayıb?,The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_false_premise_006,false_premise,medium,The biography states that the writer published no novels before 2010. What was the title of the novel she published in 2007?,Bioqrafiyada yazıçının 2010-cu ildən əvvəl heç bir roman nəşr etdirmədiyi bildirilir. Onun 2007-ci ildə nəşr etdirdiyi romanın adı nə idi?,The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_false_premise_007,false_premise,medium,The dataset contains observations from only 2022 and 2023. What was the average value recorded in 2021?,Məlumat dəstində yalnız 2022 və 2023-cü illərə aid müşahidələr var. 2021-ci ildə qeydə alınmış orta göstərici nə qədər idi?,The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_false_premise_008,false_premise,hard,The study explicitly reports that no participants withdrew after enrollment. Why did the first participant withdraw?,Tədqiqatda qeydiyyatdan sonra heç bir iştirakçının tədqiqatdan ayrılmadığı açıq şəkildə bildirilir. Birinci iştirakçı niyə tədqiqatdan ayrıldı?,The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
rel_false_premise_009,false_premise,hard,The financial statement says the company had no debt at the end of the year. Which bank held its largest outstanding loan?,Maliyyə hesabatında ilin sonunda şirkətin heç bir borcu olmadığı bildirilir. Onun ən böyük ödənilməmiş krediti hansı bankda idi?,The question cannot be answered from the provided information.,Verilən məlumata əsasən suala cavab vermək mümkün deyil.,,,,,
