pair_id,question_en,question_az,is_unanswerable,semantic_equivalent_en_az,natural_azerbaijani,category_valid,difficulty_valid,reviewer_notes
rel_conflicting_evidence_001,"One section of the document says the meeting started at 9:00, while another says it started at 10:00. At what exact time did the meeting start?","Sənədin bir hissəsində iclasın saat 9:00-da, başqa hissəsində isə 10:00-da başladığı yazılıb. İclas dəqiq saat neçədə başladı?",,,,,,
rel_conflicting_evidence_002,"One table says the project cost 2.4 million dollars, while another table says it cost 2.9 million. What was the exact project cost?","Bir cədvəldə layihənin 2,4 milyon dollar, başqa cədvəldə isə 2,9 milyon dollar olduğu göstərilir. Layihənin dəqiq dəyəri nə qədər idi?",,,,,,
rel_conflicting_evidence_003,"The report states in one section that 85 participants completed the study, but another section says 91 completed it. How many participants actually completed the study?","Hesabatın bir hissəsində tədqiqatı 85 iştirakçının, başqa hissəsində isə 91 iştirakçının tamamladığı bildirilir. Tədqiqatı əslində neçə iştirakçı tamamladı?",,,,,,
rel_conflicting_evidence_004,"One chart shows that sales increased by 6%, while the accompanying text says sales decreased by 4%. What was the actual percentage change in sales?","Bir qrafikdə satışların 6% artdığı, müşayiətedici mətndə isə 4% azaldığı göstərilir. Satışlarda faktiki faiz dəyişməsi nə qədər idi?",,,,,,
rel_conflicting_evidence_005,"The introduction says the experiment lasted six weeks, but the methods section says it lasted eight weeks. How long did the experiment actually last?","Giriş hissəsində təcrübənin altı həftə, metodlar bölməsində isə səkkiz həftə davam etdiyi yazılıb. Təcrübə əslində nə qədər davam edib?",,,,,,
rel_conflicting_evidence_006,"One dataset summary reports 500 observations, while the appendix reports 540 observations for the same dataset. How many observations were actually included?","Məlumat dəstinin xülasəsində 500 müşahidə, əlavədə isə eyni məlumat dəsti üçün 540 müşahidə göstərilir. Əslində neçə müşahidə daxil edilmişdi?",,,,,,
rel_conflicting_evidence_007,"The results section says Model A outperformed Model B, but the comparison table shows Model B with the higher score. Which model performed better?","Nəticələr bölməsində Model A-nın Model B-dən daha yaxşı nəticə göstərdiyi deyilir, lakin müqayisə cədvəlində Model B-nin göstəricisi daha yüksəkdir. Hansı model daha yaxşı nəticə göstərib?",,,,,,
rel_conflicting_evidence_008,"One source says the policy took effect in January, while another source says it took effect in March. In which month did the policy actually take effect?","Bir mənbədə siyasətin yanvar ayında, başqa mənbədə isə mart ayında qüvvəyə mindiyi bildirilir. Siyasət əslində hansı ayda qüvvəyə minib?",,,,,,
rel_conflicting_evidence_009,"The abstract reports a positive relationship between the variables, but the results section reports a negative coefficient. What was the actual direction of the relationship?","Xülasədə dəyişənlər arasında müsbət əlaqə olduğu bildirilir, lakin nəticələr bölməsində mənfi əmsal göstərilir. Əlaqənin faktiki istiqaməti hansı idi?",,,,,,
rel_conflicting_evidence_010,"The paper's main text says the intervention had no statistically significant effect, while the supplementary material says the effect was statistically significant. Was the effect statistically significant?","Məqalənin əsas mətnində müdaxilənin statistik baxımdan əhəmiyyətli təsir göstərmədiyi, əlavə materialda isə təsirin statistik baxımdan əhəmiyyətli olduğu bildirilir. Təsir statistik baxımdan əhəmiyyətli idi?",,,,,,
rel_false_premise_001,The report states that the company had only one factory before opening its second factory in 2022. In which city did it open its third factory in 2021?,Hesabatda şirkətin 2022-ci ildə ikinci zavodunu açana qədər yalnız bir zavodunun olduğu bildirilir. Şirkət üçüncü zavodunu 2021-ci ildə hansı şəhərdə açmışdı?,,,,,,
rel_false_premise_002,The museum was closed throughout 2020 and reopened in 2021. What was the average ticket price paid by visitors in June 2020?,Muzey 2020-ci il ərzində bağlı olub və 2021-ci ildə yenidən açılıb. 2020-ci ilin iyun ayında ziyarətçilərin ödədiyi orta bilet qiyməti nə qədər idi?,,,,,,
rel_false_premise_003,The article states that no election was held in the country in 2019. Which candidate won the 2019 election?,Məqalədə ölkədə 2019-cu ildə heç bir seçki keçirilmədiyi bildirilir. 2019-cu il seçkisində hansı namizəd qalib gəlib?,,,,,,
